ID;Raw_ADC;;;;;;;
21707;2098;;;;;;;
21727;2096;;;;;;;
21747;2086;;;;;;;
21767;2099;;;;;;;
21787;2101;;;;;;;
21807;2101;;;;;;;
21827;2086;;;;;;;
21847;2107;;;;;;;
21867;2096;;;;;;;
21887;2090;;;;;;;
21907;2083;;;;;;;
21927;2095;;;;;;;
21947;2086;;;;;;;
21967;2103;;;;;;;
21987;2094;;;;;;;
22007;2082;;;;;;;
22027;2094;;;;;;;
22047;2096;;;;;;;
22067;2096;;;;;;;
22087;2097;;;;;;;
22107;2096;;;;;;;
22127;2101;;;;;;;
22147;2105;;;;;;;
22167;2097;;;;;;;
22187;2093;;;;;;;
22207;2103;;;;;;;
22227;2094;;;;;;;
22247;2106;;;;;;;
22267;2096;;;;;;;
22287;2087;;;;;;;
22307;2090;;;;;;;
22327;2096;;;;;;;
22347;2095;;;;;;;
22367;2101;;;;;;;
22387;2097;;;;;;;
22407;2102;;;;;;;
22427;2096;;;;;;;
22447;2100;;;;;;;
22467;2106;;;;;;;
22487;2101;;;;;;;
22507;2102;;;;;;;
22527;2096;;;;;;;
22547;2092;;;;;;;
22567;2099;;;;;;;
22587;2095;;;;;;;
22607;2097;;;;;;;
22627;2093;;;;;;;
22647;2100;;;;;;;
22667;2094;;;;;;;
22687;2101;;;;;;;
22707;2096;;;;;;;
22727;2097;;;;;;;
22747;2095;;;;;;;
22767;2088;;;;;;;
22787;2089;;;;;;;
22807;2096;;;;;;;
22827;2094;;;;;;;
22847;2097;;;;;;;
22867;2099;;;;;;;
22887;2099;;;;;;;
22907;2099;;;;;;;
22927;2093;;;;;;;
22947;2096;;;;;;;
22967;2100;;;;;;;
22987;2099;;;;;;;
23007;2097;;;;;;;
23027;2080;;;;;;;
23047;2091;;;;;;;
23067;2091;;;;;;;
23087;2094;;;;;;;
23107;2108;;;;;;;
23127;2082;;;;;;;
23147;2089;;;;;;;
23167;2096;;;;;;;
23187;2099;;;;;;;
23207;2098;;;;;;;
23227;2089;;;;;;;
23247;2093;;;;;;;
23267;2096;;;;;;;
23287;2090;;;;;;;
23307;2105;;;;;;;
23327;2096;;;;;;;
23347;2099;;;;;;;
23367;2098;;;;;;;
23387;2096;;;;;;;
23407;2093;;;;;;;
23427;2090;;;;;;;
23447;2095;;;;;;;
23467;2096;;;;;;;
23487;2100;;;;;;;
23507;2091;;;;;;;
23527;2096;;;;;;;
23547;2095;;;;;;;
23567;2102;;;;;;;
23587;2090;;;;;;;
23607;2091;;;;;;;
23627;2096;;;;;;;
23647;2090;;;;;;;
23667;2094;;;;;;;
23687;2096;;;;;;;
23707;2083;;;;;;;
23727;2098;;;;;;;
23747;2102;;;;;;;
23767;2096;;;;;;;
23787;2094;;;;;;;
23807;2096;;;;;;;
23827;2097;;;;;;;
23847;2103;;;;;;;
23867;2093;;;;;;;
23887;2095;;;;;;;
23907;2090;;;;;;;
23927;2112;;;;;;;
23947;2103;;;;;;;
23967;2097;;;;;;;
23987;2101;;;;;;;
24007;2103;;;;;;;
24027;2089;;;;;;;
24047;2092;;;;;;;
24067;2102;;;;;;;
24087;2103;;;;;;;
24107;2095;;;;;;;
24127;2096;;;;;;;
24147;2091;;;;;;;
24167;2104;;;;;;;
24187;2091;;;;;;;
24207;2099;;;;;;;
24227;2079;;;;;;;
24247;2100;;;;;;;
24267;2095;;;;;;;
24287;2093;;;;;;;
24307;2096;;;;;;;
24327;2101;;;;;;;
24347;2096;;;;;;;
24367;2096;;;;;;;
24387;2093;;;;;;;
24407;2096;;;;;;;
24427;2110;;;;;;;
24447;2096;;;;;;;
24467;2102;;;;;;;
24487;2096;;;;;;;
24507;2096;;;;;;;
24527;2080;;;;;;;
24547;2091;;;;;;;
24567;2091;;;;;;;
24587;2101;;;;;;;
24607;2096;;;;;;;
24627;2086;;;;;;;
24647;2098;;;;;;;
24667;2100;;;;;;;
24687;2098;;;;;;;
24707;2091;;;;;;;
24727;2091;;;;;;;
24747;2103;;;;;;;
24767;2097;;;;;;;
24787;2101;;;;;;;
24807;2095;;;;;;;
24827;2096;;;;;;;
24847;2096;;;;;;;
24867;2084;;;;;;;
24887;2101;;;;;;;
24907;2086;;;;;;;
24927;2099;;;;;;;
24947;2106;;;;;;;
24967;2090;;;;;;;
24987;2098;;;;;;;
25007;2097;;;;;;;
25027;2093;;;;;;;
25047;2097;;;;;;;
25067;2098;;;;;;;
25087;2093;;;;;;;
25107;2096;;;;;;;
25127;2093;;;;;;;
25147;2095;;;;;;;
25167;2098;;;;;;;
25187;2098;;;;;;;
25207;2097;;;;;;;
25227;2098;;;;;;;
25247;2112;;;;;;;
25267;2112;;;;;;;
25287;2096;;;;;;;
25307;2093;;;;;;;
25327;2094;;;;;;;
25347;2087;;;;;;;
25367;2095;;;;;;;
25387;2099;;;;;;;
25407;2091;;;;;;;
25427;2096;;;;;;;
25447;2101;;;;;;;
25467;2096;;;;;;;
25487;2096;;;;;;;
25507;2098;;;;;;;
25527;2096;;;;;;;
25547;2096;;;;;;;
25567;2094;;;;;;;
25587;2099;;;;;;;
25607;2096;;;;;;;
25627;2096;;;;;;;
25647;2097;;;;;;;
25667;2102;;;;;;;
25687;2098;;;;;;;
25707;2094;;;;;;;
25727;2101;;;;;;;
25747;2098;;;;;;;
25767;2096;;;;;;;
25787;2096;;;;;;;
25807;2095;;;;;;;
25827;2093;;;;;;;
25847;2099;;;;;;;
25867;2097;;;;;;;
25887;2095;;;;;;;
25907;2092;;;;;;;
25927;2091;;;;;;;
25947;2095;;;;;;;
25967;2101;;;;;;;
25987;2087;;;;;;;
26007;2096;;;;;;;
26027;2105;;;;;;;
26047;2089;;;;;;;
26067;2097;;;;;;;
26087;2103;;;;;;;
26107;2096;;;;;;;
26127;2087;;;;;;;
26147;2099;;;;;;;
26167;2098;;;;;;;
26187;2103;;;;;;;
26207;2096;;;;;;;
26227;2097;;;;;;;
26247;2090;;;;;;;
26267;2092;;;;;;;
26287;2093;;;;;;;
26307;2103;;;;;;;
26327;2093;;;;;;;
26347;2098;;;;;;;
26367;2091;;;;;;;
26387;2110;;;;;;;
26407;2095;;;;;;;
26427;2094;;;;;;;
26447;2098;;;;;;;
26467;2101;;;;;;;
26487;2087;;;;;;;
26507;2097;;;;;;;
26527;2097;;;;;;;
26547;2098;;;;;;;
26567;2093;;;;;;;
26587;2097;;;;;;;
26607;2090;;;;;;;
26627;2093;;;;;;;
26647;2076;;;;;;;
26667;2097;;;;;;;
26687;2096;;;;;;;
26707;2089;;;;;;;
26727;2095;;;;;;;
26747;2096;;;;;;;
26767;2099;;;;;;;
26787;2103;;;;;;;
26807;2091;;;;;;;
26827;2112;;;;;;;
26847;2097;;;;;;;
26867;2096;;;;;;;
26887;2093;;;;;;;
26907;2095;;;;;;;
26927;2089;;;;;;;
26947;2094;;;;;;;
26967;2107;;;;;;;
26987;2096;;;;;;;
27007;2096;;;;;;;
27027;2093;;;;;;;
27047;2098;;;;;;;
27067;2096;;;;;;;
27087;2091;;;;;;;
27107;2093;;;;;;;
27127;2096;;;;;;;
27147;2101;;;;;;;
27167;2101;;;;;;;
27187;2099;;;;;;;
27207;2089;;;;;;;
27227;2096;;;;;;;
27247;2096;;;;;;;
27267;2098;;;;;;;
41315;2091;;;;;;;
41335;2110;;;;;;;
41355;2096;;;;;;;
41375;2087;;;;;;;
41395;2096;;;;;;;
41415;2091;;;;;;;
41435;2093;;;;;;;
41455;2103;;;;;;;
41475;2098;;;;;;;
41495;2091;;;;;;;
41515;2106;;;;;;;
41535;2097;;;;;;;
41555;2099;;;;;;;
41575;2096;;;;;;;
41595;2095;;;;;;;
41615;2093;;;;;;;
41635;2098;;;;;;;
41655;2099;;;;;;;
41675;2096;;;;;;;
41695;2105;;;;;;;
41715;2103;;;;;;;
41735;2098;;;;;;;
41755;2095;;;;;;;
41775;2086;;;;;;;
41795;2106;;;;;;;
41815;2101;;;;;;;
41835;2095;;;;;;;
41855;2112;;;;;;;
41875;2095;;;;;;;
41895;2103;;;;;;;
41915;2103;;;;;;;
41935;2093;;;;;;;
41955;2094;;;;;;;
41975;2087;;;;;;;
41995;2091;;;;;;;
42015;2096;;;;;;;
42035;2103;;;;;;;
42055;2096;;;;;;;
42075;2099;;;;;;;
42095;2094;;;;;;;
42115;2094;;;;;;;
42135;2090;;;;;;;
42155;2094;;;;;;;
42175;2110;;;;;;;
42195;2098;;;;;;;
42215;2095;;;;;;;
42235;2096;;;;;;;
42255;2101;;;;;;;
42275;2102;;;;;;;
42295;2090;;;;;;;
42315;2089;;;;;;;
42335;2087;;;;;;;
42355;2098;;;;;;;
42375;2096;;;;;;;
42395;2095;;;;;;;
42415;2098;;;;;;;
42435;2095;;;;;;;
42455;2101;;;;;;;
42475;2097;;;;;;;
42495;2090;;;;;;;
42515;2096;;;;;;;
42535;2093;;;;;;;
42555;2095;;;;;;;
42575;2098;;;;;;;
42595;2108;;;;;;;
42615;2094;;;;;;;
42635;2091;;;;;;;
42655;2098;;;;;;;
42675;2093;;;;;;;
42695;2102;;;;;;;
